InvoiceID,CustomerID,Gender,Age,ProductCategory,ProductID,Quantity,PricePerUnit,PurchaseDate,StoreLocation,PaymentMethod,TotalPrice
INV1025,255,Female,60,Electronics,1058,10,48.33,29-05-2023,Los Angeles,Credit Card,483.3
INV1026,208,Female,62,Grocery,1003,4,464.52,12-10-2023,New York,Cash,1858.08
INV1027,232,Male,54,Clothing,1004,5,401.08,30-11-2023,Los Angeles,Mobile Payment,2005.4
INV1028,259,Male,42,Electronics,1054,6,485.71,28-12-2023,Phoenix,Debit Card,2914.26
INV1029,229,Male,58,Furniture,1015,2,300.9,21-07-2023,Phoenix,Credit Card,601.8
INV1030,241,Male,53,Furniture,1092,3,651.38,16-02-2023,New York,Credit Card,1954.14
INV1031,200,Male,18,Clothing,1006,4,588.74,27-07-2023,Los Angeles,Debit Card,2354.96
INV1032,104,Female,41,Electronics,1012,4,365.69,25-09-2023,New York,Mobile Payment,1462.76
INV1033,191,Female,29,Clothing,1038,4,555.97,29-05-2023,New York,Mobile Payment,2223.88
INV1034,287,Female,18,Clothing,1037,5,542.25,06-06-2023,New York,Debit Card,2711.25
INV1035,167,Female,53,Toys,1012,3,240.47,28-07-2023,Los Angeles,Credit Card,721.41
INV1036,235,Male,61,Electronics,1067,4,609.82,18-09-2023,New York,Credit Card,2439.28
INV1037,149,Female,54,Clothing,1062,6,377.66,26-08-2023,Los Angeles,Credit Card,2265.96
INV1038,275,Male,49,Furniture,1095,2,392.91,29-12-2023,New York,Credit Card,785.82
INV1039,293,Male,20,Furniture,1066,6,18.97,21-05-2023,Phoenix,Credit Card,113.82
INV1040,161,Male,32,Clothing,1029,10,517.91,14-11-2023,Chicago,Cash,5179.1
INV1041,114,Female,31,Clothing,1074,6,234.27,19-10-2023,New York,Debit Card,1405.62
INV1042,283,Male,53,Electronics,1097,6,177.23,30-08-2023,New York,Credit Card,1063.38
INV1043,299,Male,32,Clothing,1064,5,626.83,01-09-2023,New York,Debit Card,3134.15
INV1044,180,Female,30,Clothing,1026,4,641.2,21-08-2023,Chicago,Mobile Payment,2564.8
INV1045,102,Male,18,Electronics,1030,3,19.13,14-08-2023,Chicago,Mobile Payment,57.39
INV1046,221,Male,51,Grocery,1074,4,75.6,21-07-2023,Chicago,Mobile Payment,302.4
INV1047,205,Female,46,Grocery,1000,9,322.13,13-04-2023,New York,Debit Card,2899.17
INV1048,247,Female,62,Electronics,1093,2,239.35,09-02-2023,New York,Cash,478.7
INV1049,163,Male,21,Clothing,1079,9,181.53,03-08-2023,Los Angeles,Cash,1633.77
INV1050,281,Female,30,Grocery,1033,4,515.25,19-08-2023,Chicago,Cash,2061
INV1051,127,Male,59,Furniture,1093,2,415.72,17-09-2023,Phoenix,Mobile Payment,831.44
INV1052,156,Male,30,Grocery,1079,8,749.45,17-05-2023,New York,Credit Card,5995.6
INV1053,213,Male,60,Toys,1007,3,633.45,14-03-2023,Houston,Cash,1900.35
INV1054,258,Female,45,Electronics,1053,6,214.72,29-08-2023,New York,Debit Card,1288.32
INV1055,276,Male,45,Electronics,1095,7,289.21,22-01-2023,Chicago,Credit Card,2024.47
INV1056,147,Female,20,Electronics,1047,4,247.63,25-11-2023,Los Angeles,Credit Card,990.52
INV1057,267,Male,62,Grocery,1060,7,551.88,18-01-2023,Houston,Mobile Payment,3863.16
INV1058,209,Male,28,Grocery,1078,3,492.58,10-04-2023,Los Angeles,Credit Card,1477.74
INV1059,138,Male,63,Clothing,1036,3,276.76,19-05-2023,Los Angeles,Debit Card,830.28
INV1060,272,Male,49,Grocery,1008,4,269.33,10-02-2023,Chicago,Debit Card,1077.32
INV1061,118,Female,50,Clothing,1002,3,157.2,05-08-2023,Los Angeles,Credit Card,471.6
INV1062,292,Female,59,Furniture,1033,4,102.21,30-05-2023,New York,Mobile Payment,408.84
INV1063,284,Male,21,Furniture,1028,5,435.8,25-02-2023,Los Angeles,Cash,2179
INV1064,262,Male,22,Clothing,1002,3,25.41,17-11-2023,Los Angeles,Credit Card,76.23
INV1065,281,Male,42,Clothing,1019,5,26.61,05-06-2023,Los Angeles,Credit Card,133.05
INV1066,117,Female,57,Electronics,1004,6,312.46,24-02-2023,Houston,Credit Card,1874.76
INV1067,172,Male,30,Furniture,1067,3,322.81,06-04-2023,Los Angeles,Cash,968.43
INV1068,113,Female,59,Grocery,1084,8,526.12,06-07-2023,Los Angeles,Credit Card,4208.96
INV1069,206,Male,53,Clothing,1006,3,330.13,10-07-2023,New York,Mobile Payment,990.39
INV1070,130,Male,31,Toys,1098,5,695,19-06-2023,New York,Credit Card,3475
INV1071,117,Male,38,Electronics,1043,3,467.75,08-09-2023,Houston,Mobile Payment,1403.25
INV1072,153,Male,59,Grocery,1052,1,453.27,17-06-2023,Los Angeles,Credit Card,453.27
INV1073,168,Male,23,Clothing,1093,4,406.4,12-12-2023,Chicago,Credit Card,1625.6
INV1074,278,Female,32,Furniture,1070,4,218.23,11-05-2023,New York,Credit Card,872.92
INV1075,191,Female,47,Clothing,1026,6,164.93,24-03-2023,Los Angeles,Credit Card,989.58
INV1076,281,Male,46,Grocery,1042,2,62.18,10-03-2023,New York,Cash,124.36
INV1077,178,Male,53,Electronics,1078,4,181.34,25-04-2023,Chicago,Credit Card,725.36
INV1078,100,Male,34,Clothing,1008,5,719.47,21-06-2023,Los Angeles,Mobile Payment,3597.35
INV1079,113,Male,43,Clothing,1041,3,706.63,16-08-2023,Los Angeles,Cash,2119.89
INV1080,285,Male,32,Grocery,1035,7,738.64,31-01-2023,New York,Mobile Payment,5170.48
INV1081,206,Female,36,Electronics,1011,5,391.51,23-04-2023,Chicago,Mobile Payment,1957.55
INV1082,231,Female,53,Grocery,1090,1,460.57,17-05-2023,New York,Credit Card,460.57
INV1083,170,Female,41,Electronics,1061,7,242.57,28-01-2023,Chicago,Debit Card,1697.99
INV1084,231,Female,55,Electronics,1087,2,621.31,12-10-2023,Los Angeles,Credit Card,1242.62
INV1085,238,Female,59,Furniture,1065,3,406.1,27-08-2023,Los Angeles,Credit Card,1218.3
INV1086,288,Female,49,Electronics,1047,5,731.38,07-07-2023,Houston,Credit Card,3656.9
INV1087,231,Male,18,Clothing,1019,4,60.96,24-07-2023,Houston,Credit Card,243.84
INV1088,205,Female,33,Grocery,1055,3,88.71,13-06-2023,New York,Mobile Payment,266.13
INV1089,276,Female,29,Grocery,1059,7,321.9,07-12-2023,New York,Cash,2253.3
INV1090,280,Male,42,Electronics,1063,5,127.42,14-11-2023,Los Angeles,Mobile Payment,637.1
INV1091,143,Female,22,Grocery,1049,3,40.66,15-03-2023,Houston,Credit Card,121.98
INV1092,136,Male,21,Grocery,1023,4,19.35,29-03-2023,Chicago,Credit Card,77.4
INV1093,105,Female,34,Clothing,1005,2,776.65,01-01-2023,Chicago,Credit Card,1553.3
INV1094,171,Male,33,Grocery,1073,6,118.99,05-05-2023,Phoenix,Cash,713.94
INV1095,138,Female,24,Clothing,1004,8,774.23,17-08-2023,Los Angeles,Mobile Payment,6193.84
INV1096,194,Male,42,Clothing,1024,3,388.7,27-10-2023,Los Angeles,Credit Card,1166.1
INV1097,270,Female,48,Clothing,1004,4,249.92,25-11-2023,Los Angeles,Credit Card,999.68
INV1098,184,Female,63,Electronics,1044,6,759.97,02-08-2023,Houston,Cash,4559.82
INV1099,195,Male,29,Electronics,1048,2,48.89,14-05-2023,Los Angeles,Credit Card,97.78
INV1100,214,Female,56,Electronics,1008,4,323.73,04-10-2023,Los Angeles,Credit Card,1294.92
INV1101,219,Female,44,Electronics,1014,3,696.34,13-09-2023,Los Angeles,Mobile Payment,2089.02
INV1102,176,Male,50,Clothing,1095,10,483.21,01-02-2023,Phoenix,Credit Card,4832.1
INV1103,133,Male,25,Grocery,1041,7,731.57,26-09-2023,New York,Credit Card,5120.99
INV1104,158,Female,30,Clothing,1003,2,470.34,30-08-2023,Chicago,Credit Card,940.68
INV1105,202,Male,58,Clothing,1046,5,748.24,08-02-2023,Houston,Credit Card,3741.2
INV1106,270,Male,51,Grocery,1023,5,626.62,13-10-2023,Houston,Credit Card,3133.1
INV1107,250,Male,57,Grocery,1076,3,72.31,18-09-2023,Phoenix,Credit Card,216.93
INV1108,100,Female,27,Electronics,1043,6,273.88,21-08-2023,Los Angeles,Credit Card,1643.28
INV1109,283,Male,27,Electronics,1009,2,124.22,12-10-2023,Houston,Cash,248.44
INV1110,247,Male,47,Toys,1057,5,741.02,15-01-2023,New York,Cash,3705.1
INV1111,153,Female,19,Grocery,1041,9,97.79,18-03-2023,Houston,Mobile Payment,880.11
INV1112,296,Female,30,Electronics,1093,3,468.07,13-10-2023,Los Angeles,Credit Card,1404.21
INV1113,290,Female,51,Grocery,1072,6,404.27,15-11-2023,New York,Debit Card,2425.62
INV1114,150,Female,50,Grocery,1056,3,774.58,18-05-2023,New York,Credit Card,2323.74
INV1115,296,Female,38,Electronics,1001,4,329.53,25-07-2023,Los Angeles,Mobile Payment,1318.12
INV1116,263,Female,62,Clothing,1096,4,669.16,05-12-2023,Houston,Credit Card,2676.64
INV1117,251,Female,41,Toys,1098,2,134.11,02-03-2023,Los Angeles,Debit Card,268.22
INV1118,109,Male,35,Toys,1031,2,270.7,08-08-2023,New York,Credit Card,541.4
INV1119,276,Female,31,Electronics,1078,3,324.81,24-05-2023,New York,Cash,974.43
INV1120,121,Female,35,Electronics,1045,3,605.95,03-04-2023,New York,Cash,1817.85
INV1121,253,Female,50,Grocery,1096,6,141.85,12-04-2023,New York,Cash,851.1
INV1122,282,Female,55,Clothing,1094,6,298.4,05-04-2023,Chicago,Debit Card,1790.4
INV1123,106,Female,47,Electronics,1069,3,612.77,18-04-2023,Los Angeles,Cash,1838.31
INV1124,265,Female,25,Furniture,1012,3,570.65,29-06-2023,Los Angeles,Credit Card,1711.95
INV1125,202,Male,53,Clothing,1025,1,378.04,02-12-2023,Los Angeles,Cash,378.04
INV1126,222,Female,36,Toys,1060,4,513.7,31-03-2023,Los Angeles,Credit Card,2054.8
INV1127,216,Male,36,Grocery,1065,2,164.83,11-08-2023,Houston,Credit Card,329.66
INV1128,286,Female,46,Electronics,1052,4,543.27,24-11-2023,Houston,Credit Card,2173.08
INV1129,139,Male,21,Electronics,1051,5,359.48,13-06-2023,Chicago,Debit Card,1797.4
INV1130,207,Male,28,Grocery,1001,5,738.72,24-12-2023,Los Angeles,Debit Card,3693.6
INV1131,151,Male,23,Clothing,1001,2,521.52,27-04-2023,Los Angeles,Credit Card,1043.04
INV1132,130,Male,49,Grocery,1032,6,539.57,11-12-2023,Los Angeles,Credit Card,3237.42
INV1133,221,Male,38,Grocery,1097,2,696.5,21-04-2023,Houston,Mobile Payment,1393
INV1134,166,Female,38,Grocery,1031,4,147.2,31-03-2023,New York,Credit Card,588.8
INV1135,252,Male,60,Furniture,1005,3,779.28,11-12-2023,Los Angeles,Credit Card,2337.84
INV1136,283,Female,52,Toys,1074,5,353.01,08-07-2023,Los Angeles,Cash,1765.05
INV1137,117,Male,24,Clothing,1071,1,392.54,01-07-2023,Los Angeles,Debit Card,392.54
INV1138,145,Male,45,Clothing,1031,4,748.74,23-10-2023,New York,Cash,2994.96
INV1139,189,Female,61,Furniture,1010,8,574.63,26-11-2023,New York,Mobile Payment,4597.04
INV1140,273,Female,22,Electronics,1001,2,281.67,11-08-2023,Chicago,Cash,563.34
INV1141,135,Female,55,Clothing,1024,6,274.93,11-01-2023,Los Angeles,Credit Card,1649.58
INV1142,116,Female,39,Grocery,1078,6,473.92,06-01-2023,New York,Mobile Payment,2843.52
INV1143,112,Male,39,Electronics,1016,4,179.77,06-12-2023,Houston,Credit Card,719.08
INV1144,186,Male,57,Furniture,1034,9,719.47,11-03-2023,Chicago,Mobile Payment,6475.23
INV1145,209,Male,46,Grocery,1077,5,748.14,26-07-2023,New York,Cash,3740.7
INV1146,167,Female,63,Electronics,1003,5,766.96,09-05-2023,Phoenix,Credit Card,3834.8
INV1147,120,Female,31,Furniture,1032,4,137.18,01-10-2023,Los Angeles,Mobile Payment,548.72
INV1148,238,Female,33,Grocery,1049,3,473.42,14-12-2023,New York,Cash,1420.26
INV1149,108,Male,27,Furniture,1000,1,440.35,13-09-2023,Los Angeles,Debit Card,440.35
INV1150,258,Female,29,Clothing,1046,3,756.01,28-10-2023,Los Angeles,Credit Card,2268.03
INV1151,240,Male,56,Furniture,1088,4,148.71,27-07-2023,Chicago,Debit Card,594.84
INV1152,246,Female,23,Electronics,1099,3,179.61,14-04-2023,Los Angeles,Credit Card,538.83
INV1153,193,Female,32,Clothing,1050,4,378.43,19-06-2023,Los Angeles,Credit Card,1513.72
INV1154,219,Female,19,Electronics,1074,2,462.46,26-08-2023,Chicago,Cash,924.92
INV1155,192,Female,40,Electronics,1053,4,308.46,13-05-2023,New York,Credit Card,1233.84
INV1156,144,Female,21,Grocery,1047,3,546.77,05-09-2023,Chicago,Credit Card,1640.31
INV1157,157,Female,42,Electronics,1069,3,49.33,20-09-2023,New York,Credit Card,147.99
INV1158,227,Male,46,Clothing,1009,4,461.94,01-11-2023,Los Angeles,Debit Card,1847.76
INV1159,100,Male,21,Furniture,1022,4,289.69,19-07-2023,Phoenix,Cash,1158.76
INV1160,173,Male,44,Electronics,1034,2,484.86,14-12-2023,Chicago,Mobile Payment,969.72
INV1161,282,Male,29,Clothing,1078,4,394.82,14-09-2023,Phoenix,Mobile Payment,1579.28
INV1162,166,Male,34,Toys,1053,3,487.9,23-01-2023,New York,Credit Card,1463.7
INV1163,244,Female,31,Furniture,1069,7,668.24,16-01-2023,Los Angeles,Mobile Payment,4677.68
INV1164,233,Female,53,Clothing,1013,5,120.18,22-01-2023,New York,Credit Card,600.9
INV1165,279,Female,39,Electronics,1087,9,457.82,08-05-2023,Chicago,Credit Card,4120.38
INV1166,190,Female,59,Electronics,1041,3,483.19,29-04-2023,Los Angeles,Credit Card,1449.57
INV1167,134,Female,56,Furniture,1012,6,453.32,21-04-2023,Houston,Credit Card,2719.92
INV1168,295,Female,47,Furniture,1076,3,326.21,31-07-2023,New York,Credit Card,978.63
INV1169,194,Male,31,Electronics,1089,6,184.95,29-12-2023,Los Angeles,Cash,1109.7
INV1170,282,Female,40,Electronics,1032,3,717.26,24-04-2023,Los Angeles,Credit Card,2151.78
INV1171,177,Male,49,Grocery,1050,2,712,13-10-2023,Chicago,Credit Card,1424
INV1172,229,Male,59,Furniture,1023,4,291.92,27-05-2023,Houston,Credit Card,1167.68
INV1173,114,Female,63,Grocery,1083,4,470.73,26-06-2023,New York,Mobile Payment,1882.92
INV1174,215,Female,21,Toys,1078,4,539.65,29-09-2023,New York,Debit Card,2158.6
INV1175,133,Female,56,Furniture,1083,3,241.41,14-07-2023,New York,Cash,724.23
INV1176,248,Female,22,Toys,1039,3,135.61,28-12-2023,New York,Mobile Payment,406.83
INV1177,268,Female,51,Grocery,1035,1,311.35,21-06-2023,New York,Credit Card,311.35
INV1178,124,Male,58,Clothing,1023,2,648.3,10-09-2023,New York,Credit Card,1296.6
INV1179,286,Female,46,Clothing,1016,3,729.12,29-07-2023,Los Angeles,Credit Card,2187.36
INV1180,128,Female,37,Electronics,1002,2,418.57,26-12-2023,Los Angeles,Cash,837.14
INV1181,235,Female,64,Clothing,1033,4,403.75,22-05-2023,Chicago,Credit Card,1615
INV1182,102,Male,55,Electronics,1042,4,569.8,10-02-2023,Houston,Credit Card,2279.2
INV1183,163,Female,24,Clothing,1010,5,347.13,13-05-2023,Phoenix,Debit Card,1735.65
INV1184,213,Male,28,Clothing,1007,5,676.76,19-02-2023,New York,Cash,3383.8
INV1185,230,Female,29,Electronics,1034,5,43.78,27-04-2023,Los Angeles,Debit Card,218.9
INV1186,245,Female,36,Clothing,1034,3,520.4,07-07-2023,New York,Credit Card,1561.2
INV1187,174,Male,40,Electronics,1039,5,417.16,28-06-2023,New York,Debit Card,2085.8
INV1188,281,Female,44,Clothing,1017,2,19.18,14-07-2023,Chicago,Credit Card,38.36
INV1189,130,Male,34,Clothing,1073,4,522.22,28-09-2023,Phoenix,Mobile Payment,2088.88
INV1190,167,Female,55,Grocery,1013,4,767.93,05-11-2023,Chicago,Credit Card,3071.72
INV1191,256,Male,44,Clothing,1050,4,386.83,28-10-2023,Los Angeles,Mobile Payment,1547.32
INV1192,265,Male,55,Grocery,1087,7,635.08,07-04-2023,Phoenix,Cash,4445.56
INV1193,182,Male,35,Grocery,1062,2,241.55,30-06-2023,Chicago,Credit Card,483.1
INV1194,245,Female,42,Furniture,1053,5,42.33,11-03-2023,Phoenix,Debit Card,211.65
INV1195,238,Female,24,Furniture,1012,4,628.93,31-12-2023,Los Angeles,Cash,2515.72
INV1196,241,Female,37,Toys,1081,4,303.22,11-01-2023,Chicago,Cash,1212.88
INV1197,181,Female,60,Grocery,1093,4,694.79,28-01-2023,Houston,Debit Card,2779.16
INV1198,217,Female,51,Toys,1071,4,75.06,17-11-2023,Los Angeles,Credit Card,300.24
INV1199,125,Male,50,Clothing,1060,3,224.37,22-12-2023,Phoenix,Debit Card,673.11
INV1200,294,Male,54,Clothing,1013,4,486.02,11-11-2023,New York,Cash,1944.08
INV1201,243,Female,19,Grocery,1052,4,693.24,29-03-2023,New York,Credit Card,2772.96
INV1202,208,Female,41,Toys,1072,5,63.72,02-09-2023,Los Angeles,Cash,318.6
INV1203,222,Female,57,Grocery,1053,3,98.68,29-09-2023,New York,Credit Card,296.04
INV1204,111,Male,53,Electronics,1092,6,180.34,08-07-2023,Chicago,Debit Card,1082.04
INV1205,201,Male,54,Electronics,1007,5,354.51,06-12-2023,Los Angeles,Credit Card,1772.55
INV1206,138,Female,50,Electronics,1047,4,422.78,30-04-2023,New York,Credit Card,1691.12
INV1207,216,Male,20,Toys,1005,5,423.6,29-01-2023,Houston,Credit Card,2118
INV1208,122,Male,45,Toys,1089,3,528.99,16-10-2023,Los Angeles,Credit Card,1586.97
INV1209,155,Male,37,Electronics,1039,3,773.94,02-03-2023,New York,Mobile Payment,2321.82
INV1210,157,Male,45,Electronics,1013,2,362.48,13-07-2023,New York,Mobile Payment,724.96
INV1211,187,Female,23,Clothing,1080,2,109.17,11-12-2023,New York,Credit Card,218.34
INV1212,279,Female,23,Electronics,1035,2,672.8,02-02-2023,Houston,Credit Card,1345.6
INV1213,276,Male,27,Furniture,1044,3,671.98,06-10-2023,Los Angeles,Credit Card,2015.94
INV1214,281,Male,48,Electronics,1066,2,431.91,02-01-2023,Houston,Mobile Payment,863.82
INV1215,245,Male,35,Electronics,1031,6,696.56,30-09-2023,New York,Credit Card,4179.36
INV1216,293,Female,35,Grocery,1037,8,478.86,25-10-2023,Los Angeles,Mobile Payment,3830.88
INV1217,142,Female,49,Electronics,1088,1,489.63,31-05-2023,Los Angeles,Credit Card,489.63
INV1218,193,Female,59,Grocery,1004,6,644.12,30-04-2023,Chicago,Credit Card,3864.72
INV1219,272,Male,30,Electronics,1064,4,353.16,16-08-2023,New York,Credit Card,1412.64
INV1220,244,Male,28,Grocery,1043,3,463.41,17-10-2023,Phoenix,Cash,1390.23
INV1221,151,Male,31,Electronics,1065,5,330.27,03-01-2023,Houston,Debit Card,1651.35
INV1222,282,Female,27,Clothing,1077,8,82.78,05-10-2023,New York,Cash,662.24
INV1223,283,Male,36,Furniture,1099,7,214.41,16-12-2023,New York,Credit Card,1500.87
INV1224,183,Male,36,Furniture,1000,3,76.89,08-12-2023,Los Angeles,Credit Card,230.67
INV1225,200,Female,28,Grocery,1067,2,211.61,05-07-2023,Los Angeles,Credit Card,423.22
INV1226,142,Male,52,Clothing,1062,4,307.53,22-10-2023,New York,Credit Card,1230.12
INV1227,289,Male,36,Grocery,1089,3,27.6,10-07-2023,New York,Mobile Payment,82.8
INV1228,137,Male,38,Electronics,1027,5,236.89,23-01-2023,Chicago,Credit Card,1184.45
INV1229,212,Female,30,Clothing,1004,5,232.84,05-05-2023,Los Angeles,Debit Card,1164.2
INV1230,213,Male,52,Furniture,1055,6,156.31,07-04-2023,Houston,Cash,937.86
INV1231,199,Male,26,Grocery,1010,5,503.33,19-08-2023,New York,Mobile Payment,2516.65
INV1232,102,Male,63,Clothing,1082,4,621.93,20-08-2023,New York,Credit Card,2487.72
INV1233,162,Male,20,Grocery,1022,4,164.63,18-10-2023,Chicago,Credit Card,658.52
INV1234,199,Male,32,Clothing,1032,6,601.08,17-03-2023,Los Angeles,Credit Card,3606.48
INV1235,116,Male,58,Grocery,1085,2,348.81,27-01-2023,Los Angeles,Mobile Payment,697.62
INV1236,170,Male,24,Grocery,1044,4,597.59,14-03-2023,New York,Credit Card,2390.36
INV1237,153,Female,62,Clothing,1092,3,532.39,27-04-2023,Chicago,Cash,1597.17
INV1238,275,Female,28,Toys,1010,4,567.79,09-05-2023,Los Angeles,Credit Card,2271.16
INV1239,276,Female,34,Toys,1067,4,71.3,07-12-2023,Los Angeles,Debit Card,285.2
INV1240,237,Male,57,Furniture,1037,5,572.25,22-06-2023,Phoenix,Cash,2861.25
INV1241,277,Male,47,Grocery,1027,4,504.62,14-03-2023,Houston,Debit Card,2018.48
INV1242,153,Male,25,Clothing,1005,2,522.52,25-03-2023,New York,Debit Card,1045.04
INV1243,211,Female,39,Furniture,1030,5,381.01,27-09-2023,Houston,Mobile Payment,1905.05
INV1244,262,Male,37,Toys,1052,4,515.83,14-05-2023,Chicago,Mobile Payment,2063.32
INV1245,231,Female,64,Grocery,1062,6,579.48,01-10-2023,Chicago,Cash,3476.88
INV1246,202,Male,21,Grocery,1080,5,230.42,16-12-2023,Los Angeles,Debit Card,1152.1
INV1247,239,Male,31,Grocery,1099,6,292.4,04-04-2023,Chicago,Debit Card,1754.4
INV1248,149,Male,41,Electronics,1071,5,341.97,25-05-2023,Chicago,Credit Card,1709.85
INV1249,129,Male,52,Electronics,1058,7,257.54,18-11-2023,Chicago,Cash,1802.78
INV1250,136,Male,24,Toys,1079,2,696.18,18-04-2023,New York,Cash,1392.36
INV1251,193,Male,18,Clothing,1038,2,593.56,16-11-2023,New York,Cash,1187.12
INV1252,295,Male,52,Electronics,1003,3,328.67,07-11-2023,Los Angeles,Debit Card,986.01
INV1253,254,Male,27,Grocery,1007,2,121.22,29-11-2023,Los Angeles,Debit Card,242.44
INV1254,213,Female,47,Grocery,1027,4,665.91,08-06-2023,Houston,Cash,2663.64
INV1255,152,Female,37,Clothing,1094,6,348.07,12-04-2023,Chicago,Credit Card,2088.42
INV1256,264,Female,53,Electronics,1001,7,628.81,15-09-2023,Chicago,Debit Card,4401.67
INV1257,259,Male,60,Electronics,1082,5,364.21,12-11-2023,Phoenix,Credit Card,1821.05
INV1258,185,Male,43,Furniture,1092,4,443.48,21-08-2023,New York,Cash,1773.92
INV1259,192,Female,60,Furniture,1088,3,622.85,02-01-2023,Los Angeles,Credit Card,1868.55
INV1260,215,Female,47,Electronics,1049,5,295.15,20-09-2023,Los Angeles,Credit Card,1475.75
INV1261,226,Male,38,Clothing,1024,6,499.05,09-09-2023,New York,Credit Card,2994.3
INV1262,168,Female,57,Toys,1004,5,344.31,25-10-2023,Los Angeles,Cash,1721.55
INV1263,219,Male,52,Electronics,1081,3,662.62,31-10-2023,Los Angeles,Credit Card,1987.86
INV1264,171,Female,58,Clothing,1083,2,106.86,08-03-2023,Phoenix,Debit Card,213.72
INV1265,161,Female,42,Furniture,1093,3,463.93,19-06-2023,Houston,Credit Card,1391.79
INV1266,193,Male,59,Furniture,1043,6,317.35,26-04-2023,New York,Credit Card,1904.1
INV1267,136,Female,24,Electronics,1037,5,455.82,08-03-2023,Chicago,Credit Card,2279.1
INV1268,223,Female,29,Furniture,1005,3,338.47,04-05-2023,New York,Cash,1015.41
INV1269,142,Male,30,Electronics,1023,2,261.21,23-10-2023,Los Angeles,Credit Card,522.42
INV1270,113,Male,21,Electronics,1039,5,656.57,19-01-2023,Chicago,Cash,3282.85
INV1271,148,Female,18,Electronics,1074,1,661.91,17-12-2023,Los Angeles,Cash,661.91
INV1272,132,Male,56,Furniture,1010,3,340.56,18-07-2023,New York,Credit Card,1021.68
INV1273,138,Female,51,Grocery,1067,4,725.87,24-07-2023,Chicago,Debit Card,2903.48
INV1274,140,Female,63,Clothing,1043,3,347.11,16-09-2023,Phoenix,Mobile Payment,1041.33
INV1275,281,Male,41,Furniture,1025,2,214.5,11-03-2023,New York,Credit Card,429
INV1276,193,Male,36,Clothing,1023,3,616.41,30-10-2023,Chicago,Mobile Payment,1849.23
INV1277,242,Male,49,Grocery,1066,2,159.61,15-03-2023,Los Angeles,Credit Card,319.22
INV1278,138,Female,57,Electronics,1053,7,675.6,16-10-2023,Phoenix,Credit Card,4729.2
INV1279,216,Female,51,Grocery,1013,4,229.24,26-03-2023,New York,Debit Card,916.96
INV1280,265,Female,62,Clothing,1055,6,195.36,18-10-2023,Phoenix,Cash,1172.16
INV1281,228,Male,49,Electronics,1040,1,171.81,14-07-2023,Phoenix,Mobile Payment,171.81
INV1282,204,Female,23,Electronics,1065,3,206.56,06-12-2023,Phoenix,Debit Card,619.68
INV1283,287,Male,46,Grocery,1019,8,498.88,14-04-2023,Chicago,Cash,3991.04
INV1284,204,Male,44,Furniture,1070,2,115.27,29-10-2023,Phoenix,Credit Card,230.54
